City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
263,Oranjemund,NA,-28.55,16.4333,64.44,81,9,12.33,clear sky
264,Algodones,MX,20.3888,-105.4773,72.14,53,6,7.96,clear sky
265,Biak,ID,-0.9131,122.8766,75.74,85,100,3.51,overcast clouds
266,Markova,UA,48.6758,24.4138,27.95,88,99,5.06,overcast clouds
267,Souillac,MU,-20.5167,57.5167,80.37,94,75,16.11,light rain
268,Neryungri,RU,56.6709,124.6491,-5.12,95,100,10.51,overcast clouds
269,Chapais,CA,49.7834,-74.8492,-2.9,77,93,5.44,overcast clouds
270,Botou,CN,38.0667,116.5667,21.78,30,0,1.32,clear sky
271,Yumen,CN,40.2833,97.2,16.14,41,100,13.04,overcast clouds
272,Beringovskiy,RU,63.05,179.3167,-10.79,91,95,13.4,overcast clouds
273,Lompoc,US,34.6391,-120.4579,70.02,47,0,5.99,clear sky
274,Necochea,AR,-38.5473,-58.7368,67.03,54,100,12.84,moderate rain
275,Vestmannaeyjar,IS,63.4427,-20.2734,28.09,67,100,6.02,overcast clouds
276,Tiksi,RU,71.6872,128.8694,-19.61,98,100,6.78,overcast clouds
277,Isiolo,KE,0.3546,37.5822,71.04,56,95,5.77,overcast clouds
278,Nchelenge,ZM,-9.3451,28.734,66.72,85,100,2.59,overcast clouds
279,Svetlogorsk,BY,52.6333,29.7333,4.48,100,83,4.63,broken clouds
280,Taltal,CL,-25.4,-70.4833,71.24,61,22,7.7,few clouds
281,Santa Rosa De Aguan,HN,15.95,-85.7167,80.87,74,8,11.25,clear sky
282,Varkaus,FI,62.3153,27.873,18.3,82,100,16.37,overcast clouds
283,Pundaguitan,PH,6.3711,126.1689,79.84,78,100,16.13,overcast clouds
284,Grand-Santi,GF,4.25,-54.3833,79.52,87,80,3.76,light rain
285,Dana Point,US,33.467,-117.6981,71.4,20,0,4.0,clear sky
286,Ceuta,ES,35.8903,-5.3075,59.11,65,96,16.82,overcast clouds
287,Doctor Juan Manuel Frutos,PY,-25.3667,-55.8,78.89,77,72,5.26,broken clouds
288,Jhansi,IN,25.4333,78.5833,53.46,46,0,2.04,clear sky
289,Erdaojiang,CN,41.7764,126.0319,-9.11,99,18,1.83,few clouds
290,Vardo,NO,70.3705,31.1107,21.18,79,40,26.46,scattered clouds
291,Gamba,GA,-2.65,10.0,76.59,84,31,2.95,light rain
292,Lorengau,PG,-2.0226,147.2712,79.95,74,66,6.67,broken clouds
293,Saint-Philippe,RE,-21.3585,55.7679,80.15,88,100,26.8,moderate rain
294,Murgab,TM,37.4966,61.9714,52.66,31,0,10.49,clear sky
295,Bhimunipatnam,IN,17.8833,83.4333,71.64,87,20,7.43,few clouds
296,Kimbe,PG,-5.5502,150.1429,76.59,92,95,3.02,light rain
297,Bella Union,UY,-30.2752,-57.6007,97.68,27,45,7.94,scattered clouds
298,Okhotsk,RU,59.3833,143.3,-0.13,71,96,15.84,overcast clouds
299,Jamiltepec,MX,16.2833,-97.8167,85.73,41,0,9.35,clear sky
300,Odweyne,SO,9.4092,45.064,66.87,52,0,5.95,clear sky
301,Kopavogur,IS,64.1123,-21.913,26.82,80,100,10.36,overcast clouds
302,Verkhneye Dubrovo,RU,56.7528,61.0468,20.59,92,100,6.71,overcast clouds
303,Coquimbo,CL,-29.9533,-71.3436,71.33,64,0,13.8,clear sky
304,Altamira,BR,-3.2033,-52.2064,83.01,75,98,3.85,overcast clouds
305,Sorokino,RU,53.75,84.9167,-10.25,100,100,3.42,overcast clouds
306,Jiupu,CN,41.0667,122.95,6.64,76,2,3.27,clear sky
307,Belaya Gora,RU,68.5333,146.4167,-39.33,100,52,1.07,broken clouds
308,Saint-Jean-Port-Joli,CA,47.2171,-70.2658,12.88,89,100,18.37,overcast clouds
309,Longyan,CN,25.1072,117.0225,44.22,94,100,2.98,overcast clouds
310,Te Anau,NZ,-45.4167,167.7167,46.62,88,35,4.65,scattered clouds
311,Muroto,JP,33.2833,134.15,43.0,55,77,26.87,broken clouds
312,Fairbanks,US,64.8378,-147.7164,4.1,66,100,3.36,overcast clouds
313,Bubaque,GW,11.2833,-15.8333,78.48,74,5,14.54,clear sky
314,Les Cayes,HT,18.2,-73.75,82.47,61,12,7.38,few clouds
315,Ponta Delgada,PT,37.7333,-25.6667,61.5,72,20,9.22,few clouds
316,Puerto Suarez,BO,-18.95,-57.8,91.96,55,40,11.5,scattered clouds
317,Primorsk,UA,46.7348,36.3443,28.58,81,99,14.67,overcast clouds
318,Haines Junction,CA,60.7522,-137.5108,2.41,93,100,2.17,overcast clouds
319,Anjozorobe,MG,-18.4,47.8667,70.12,87,100,7.34,overcast clouds
320,Mehamn,NO,71.0357,27.8492,17.51,87,100,30.65,light snow
321,Somerville,US,42.3876,-71.0995,32.5,92,100,1.99,overcast clouds
322,Creston,US,41.0586,-94.3614,29.05,39,0,26.46,clear sky
323,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,86.47,65,42,2.55,scattered clouds
324,Port Blair,IN,11.6667,92.75,77.9,82,30,3.42,scattered clouds
325,Thinadhoo,MV,0.5333,72.9333,81.72,73,100,8.34,overcast clouds
326,Leninskoye,KZ,41.7589,69.3864,33.73,27,98,3.94,overcast clouds
327,Comodoro Rivadavia,AR,-45.8667,-67.5,62.46,55,20,5.75,few clouds
328,Klaksvik,FO,62.2266,-6.589,34.72,58,92,38.56,overcast clouds
329,Sonaguera,HN,15.6333,-86.3333,78.03,55,36,5.46,scattered clouds
330,Jacobina,BR,-11.1806,-40.5183,89.37,35,98,7.25,overcast clouds
331,Cabo San Lucas,MX,22.8909,-109.9124,75.51,49,0,1.99,clear sky
332,Tyrma,RU,50.0833,132.1667,-16.6,100,100,1.3,overcast clouds
333,Hadejia,NG,12.4498,10.0444,67.86,15,5,10.29,clear sky
334,Le Port,RE,-20.9373,55.2919,80.56,87,100,26.02,moderate rain
335,Ambilobe,MG,-13.2,49.05,76.51,90,100,11.07,moderate rain
336,Shestakovo,RU,56.4915,103.96,10.4,97,100,3.38,light snow
337,Olafsvik,IS,64.8945,-23.7142,27.84,70,100,18.1,overcast clouds
338,Palasa,IN,18.7667,84.4167,70.54,89,3,4.68,clear sky
339,Tilichiki,RU,60.4667,166.1,-9.6,85,92,8.37,overcast clouds
340,San Miguel,SV,13.4833,-88.1833,98.92,24,10,3.89,clear sky
341,Soyo,AO,-6.1349,12.3689,78.44,75,50,6.44,scattered clouds
342,Bilma,NE,18.6853,12.9164,60.93,19,5,6.71,clear sky
